"region","week","date_from","date_to","track_id","track_name","artist","track_position","track_streams","track_url"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","7qiZfU4dY1lWllzX7mPBI3","Shape of You","Ed Sheeran","10","18479947","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","25C5CowdsfXld2jJanbiex","Sorry Not Sorry","Demi Lovato","11","17865110","https://open.spotify.com/track/25C5CowdsfXld2jJanbiex"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","6EpRaXYhGOB3fj4V2uDkMJ","Strip That Down","Liam Payne","12","17427350","https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","3DXncPQOG4VBw3QHh3S817","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled","13","17294945","https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","0tKcYR2II1VCQWT79i5NrW","Thunder","Imagine Dragons","14","17108973","https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","3PEgB3fkiojxms35ntsTgs","More Than You Know","Axwell /\ Ingrosso","15","16550135","https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","0NiXXAI876aGImAd6rTj8w","Mama","Jonas Blue","16","16260700","https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","7F9vK8hNFMml4GtHsaXui6","Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson","17","16243903","https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","2eMwDehkIC1j68U6FA3Eiq","XO TOUR Llif3","Lil Uzi Vert","18","15039204","https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","3HVr6jTVwBHBa2flM0eURR","Glorious (feat. Skylar Grey)","Macklemore","19","14575551","https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR"
